state,value
"(0, 0, 0)",-1.3024078170675037
"(0, 0, 1)",-0.31832401796579335
"(0, 1, 0)",-3.693105370850822
"(0, 1, 1)",-1.2863778770429917
"(0, 2, 0)",-9.042628528551484
"(0, 2, 1)",-7.425434833495605
"(0, 3, 0)",-12.085336639631407
"(0, 3, 1)",-10.917214912789394
"(0, 4, 0)",-13.461799832738992
"(0, 4, 1)",-12.496829710565157
"(1, 0, 0)",-3.693105370850822
"(1, 0, 1)",2.8764038521198514
"(1, 1, 0)",-5.659725087224936
"(1, 1, 1)",1.1044458690560195
"(1, 2, 0)",-20.358591336795996
"(1, 2, 1)",-17.724074910861276
"(1, 3, 0)",-15.343754150462686
"(1, 3, 1)",-14.656540848429183
"(1, 4, 0)",-14.621161868428022
"(1, 4, 1)",-13.827301485418262
"(2, 0, 0)",-6.359458694174527
"(2, 0, 1)",6.993930729971569
"(2, 1, 0)",-7.75393110500288
"(2, 1, 1)",5.103178077843641
"(2, 2, 0)",-19.99999999999995
"(2, 2, 1)",-19.99999999999995
"(2, 3, 0)",-18.778057028436304
"(2, 3, 1)",-18.597710996134694
"(2, 4, 0)",0.0
"(2, 4, 1)",0.0
"(3, 0, 0)",-8.499060586983797
"(3, 0, 1)",11.72748412833726
"(3, 1, 0)",-9.50117321273837
"(3, 1, 1)",11.36158563856208
"(3, 2, 0)",-23.88613177782548
"(3, 2, 1)",2.2405458127547746
"(3, 3, 0)",-19.99999999999995
"(3, 3, 1)",-19.99999999999995
"(3, 4, 0)",0.0
"(3, 4, 1)",0.0
"(4, 0, 0)",-10.122851116239763
"(4, 0, 1)",16.130839648701652
"(4, 1, 0)",-10.641516198047153
"(4, 1, 1)",23.63699469744278
"(4, 2, 0)",-13.71159342354312
"(4, 2, 1)",37.05083518785412
"(4, 3, 0)",-15.45779558031132
"(4, 3, 1)",62.47537782307686
"(4, 4, 0)",-16.247744175039795
"(4, 4, 1)",0.0
